Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,3.440468196,3.495240042,3.72442345,3.785014473,3.807034199,3.959707425,3.953585678,3.981668375,4.0281486,4.183551722,4.158036263,4.279158289,4.269494231,4.220197402,4.347318479,4.533709282,4.347310877,4.655171242,4.764972924,4.8955896,4.714626387,4.866443862,5.027907659,5.140199382,5.474365299,5.390713767,5.513738337,5.629757453,5.590219397,5.672456948,6.08905732,6.122071416,6.340253769,6.354136401,6.50075714,6.871906204,7.091910421,7.358814854,7.655852657,8.198619358,8.408627984,8.722370087,8.805125931,9.090218318, ,,,,
Brazil,28.38495011,29.70011651,31.78857249,33.03843349,33.68784497,34.53204593,34.85115397,36.21571301,37.6064228,37.40446495,35.04819768,34.80958208,34.86462881,36.28546155,37.91710947,38.87608879,39.58909297,39.35893056,39.41093694,37.31175139,37.35426477,37.10478884,37.40537817,38.73989228,39.42618467,40.86867634,42.27709557,42.63444924,42.95979406,42.52264625,42.67713028,43.23521668,43.39679324,45.2630999,45.87440315,46.95444243,49.10625227,51.329542,49.17626466,53.86816479,54.21257474,56.05821568,57.93550595,59.30211035, ,,,,
Canada,255.2131616,272.1534729,280.923811,281.1369957,284.3255625,289.2141773,294.6759782,299.8429135,311.7569941,310.4338495,299.5851713,284.4501763,280.6026104,292.1897816,296.1295024,298.262438,304.1830764,312.6705111,315.7655362,302.5530649,298.0817574,301.4266482,308.1224381,315.5255478,316.4237909,319.3404946,319.4510766,315.1746874,321.4841264,327.7319805,319.4552717,316.9781716,330.7560161,335.2844975,333.9556313,326.7353696,325.6823221,324.948401,309.1761938,308.8367536,313.7137787,306.6499467,307.0589271,313.1705787,302.6026015,,,,
China,18.43581257,18.92098411,19.18065583,19.27782893,20.91628867,21.30037946,22.88792237,24.47180183,24.54669614,24.16648843,23.67842486,24.06240991,24.66038235,25.8168206,26.08188947,26.61520782,27.53565815,28.5634195,28.7130926,30.41336571,29.21809619,29.84368989,31.25135992,32.36298775,34.37224429,34.9598707,34.56741243,34.47233672,34.83578968,35.6471922,36.82979638,39.05031396,44.34873751,50.28477788,55.26349679,60.08058904,64.64053401,66.33501255,70.51952852,77.50984873,82.73464886,85.45790613,87.78133246,88.69217592, ,,,,
Colombia,24.96173094,24.41587248,24.01763171,24.88080715,25.43303794,25.8627297,26.04391985,25.36310251,24.22120625,26.09950768,25.86357927,26.0262467,26.30397515,26.61551918,26.46447206,28.22684772,28.59967969,28.88303222,28.54768016,29.01555178,28.76217745,28.85131622,29.60498582,30.07788145,30.04714136,30.23615575,28.83390827,29.69167542,26.12062881,25.82826336,25.32209633,24.45006244,24.59766412,24.5013445,25.18164442,26.12784092,25.6472073,26.53746627,27.20595343,27.35949423,27.13813084,27.14690388,28.70005007,28.71035674, ,,,,
Ethiopia,18.85897105,18.78642995,18.80318515,18.78667601,18.71412085,18.71978815,18.71808117,18.78200403,18.81775369,18.8397337,18.86951851,18.81943819,18.83390367,18.78187009,18.77605963,18.84098143,18.94623557,18.93270455,18.9508475,18.98974649,18.95900872,18.73608672,18.83418722,18.89671471,18.95507994,18.98983533,18.94988764,18.96496012,18.94088071,18.97350581,19.12863217,19.13986237,19.19363638,19.21683774,19.14847195,19.18949543,19.25518718,19.30133848,19.3001908,19.29853988,19.39709093,19.39781535,19.51484138,19.55389743, ,,,,
France,120.0609544,125.7284654,134.2443008,129.0030761,121.2869,128.7816362,125.8103701,133.6031133,138.6214287,137.8531572,133.9927111,130.0709474,132.7384101,136.7421168,142.6560196,144.0549469,146.8034721,145.3493702,150.5173131,152.5287761,160.3194236,156.7865416,158.6858354,152.1118622,157.8710133,166.2207157,160.5626324,164.6228488,163.5085739,163.982477,168.3651727,167.5508282,169.3542878,170.5751031,169.9969755,166.0985498,163.1913965,162.9954449,155.1788046,159.2785,152.5464698,152.1334427,152.0096295,145.0835529,146.2990045,,,,
Germany,154.4574082,159.2979075,168.1295141,164.8863179,158.0146244,171.0844176,171.9371773,177.7975729,185.784238,180.9069372,174.4516452,168.8354314,169.2392736,176.3477065,182.3281867,181.9719144,183.0521865,183.5589708,179.0198193,175.3186379,170.6208603,166.1834575,163.4756412,162.1315125,163.356414,168.3869122,166.6740851,165.6406097,161.7800006,162.3401737,166.9293972,162.9088293,161.9612131,163.1462941,162.0405207,166.7255273,158.047842,160.0708715,150.3032591,158.4946264,153.4483089,153.7311063,156.2126244,149.8655248,151.3757933,,,,
India,10.60102834,10.59948893,10.65079945,10.81380368,10.94046344,11.12049117,11.17996051,11.07817994,11.32231775,11.3471424,11.64762709,11.81980577,11.92362778,12.1363434,12.48652907,12.64392119,12.84281071,13.25415522,13.58898846,13.88141611,14.17052431,14.39700358,14.45395092,14.72007588,15.26989672,15.44177735,15.75708168,15.84117085,16.45434533,16.54654149,16.49605799,16.70447392,16.82437768,17.43537136,17.83438951,18.48359809,19.23546576,19.88814797,21.59586541,22.27102263,22.91897236,23.75803557,24.02123876,25.24166732, ,,,,
Indonesia,11.7889625,11.95379717,12.18059695,12.3089576,12.47977021,12.72557901,13.79830941,14.41664351,14.73345024,14.98029453,15.40075187,15.42209777,15.35279722,15.60699962,15.8208047,17.10057298,17.31770351,17.45693574,18.11218764,21.56209958,22.22879302,22.7830102,24.61643956,24.25926866,26.3466572,26.89707168,27.40004332,26.42333446,27.29580069,29.18088694,29.46072646,30.14263301,29.82323827,31.3688145,31.50042894,31.8154502,31.2491356,31.4484853,33.54599645,34.7783377,33.052909,33.83193667,34.25262245,35.04966628, ,,,,
Italy,77.28883171,81.31710668,86.26772176,87.71976643,83.51151659,89.77577382,87.4014795,89.12183608,92.78877127,91.93169064,89.85007896,87.49517572,87.38896438,89.36583472,90.59872847,91.6589113,95.45399432,97.65631707,101.7529132,102.457903,104.9078457,104.1808854,103.5722349,102.2429026,111.0025518,110.8748297,112.3914711,115.5059622,117.2651153,119.4413898,119.7755104,120.4355586,125.6404416,125.6960988,127.4702152,125.9287498,124.8889268,122.4300597,113.7998431,116.2054801,112.1536325,107.4307228,102.2828155,95.74058946,98.40804595,,,,
Japan,100.3642634,105.7553613,117.5385887,115.9539711,108.0596765,114.0726587,114.9887674,114.926695,120.7046364,116.9805626,113.5796894,112.637535,111.9740938,119.6642455,119.1655307,119.773103,120.7071045,128.5806693,132.8650386,140.8128284,141.7678345,144.7298141,145.3096953,152.7007071,156.07246,158.9465399,160.2428405,156.8509547,159.0555268,161.9345805,158.938284,158.2923246,156.7540786,161.711687,161.1077186,160.7470538,159.1122088,152.9969944,145.8625627,154.3781774,143.1781222,140.2656778,141.4658109,137.6248124,135.9512379,,,,
Mexico,32.10428015,34.46568105,36.99960414,38.26283439,39.34431027,40.97849821,43.16646032,47.05384914,50.35119838,55.65905674,58.02027387,59.31065533,54.57523888,55.76250588,56.68149533,53.99577402,55.64093577,55.21298884,56.57123653,58.42370419,60.21205976,59.62475891,59.56676899,59.87303032,57.00645242,57.33504201,59.3996863,60.13757103,60.96677746,60.13856817,61.39477408,60.8557251,63.60030555,63.41091525,66.81859808,67.35334063,65.92653024,64.28738589,63.42500973,60.73815868,62.93154515,64.82001769,64.10294674,61.93235715,60.95642183,,,,
Nigeria,22.96197114,23.21350705,23.67643708,23.80707972,24.1265806,24.67732708,25.23320988,25.61931606,25.91059819,26.38627516,26.83545606,27.44698609,27.51773662,26.89132253,27.09193985,26.64286314,26.85544728,26.93479037,27.15663385,27.66219122,28.25946937,28.64511491,28.38582073,27.00784483,27.06959027,27.52605603,27.75887971,27.26147521,27.54116901,27.90103055,28.56755076,28.74850856,29.62126011,29.6897358,30.07115439,29.53885771,29.78618326,29.86830392,28.62182736,29.99113854,30.88318454,31.66777071,30.93458618,30.28, ,,,,
Pakistan,11.31006977,11.29999588,11.54307042,11.89117601,12.07656644,11.86029004,11.9964838,12.11216808,12.40823176,12.5782329,13.04316684,13.35921449,13.62356825,13.61718603,13.87836682,14.02315323,14.92544398,15.18805009,15.56386299,15.802321,15.74591129,16.31059841,16.67450615,16.88709815,17.15119525,17.54377571,17.50064251,17.37745617,17.84781743,17.84596877,17.68549912,17.45711259,17.82694405,18.67597267,18.92582827,19.26884953,19.84343628,19.07376734,18.93297593,18.78937824,18.52639445,18.34635048,18.40033148,18.24951035, ,,,,
